lab_category,reference_unit,description,lab_name_type_examples,lab_order_category
albumin,g/dL,,"ALBUMIN, ALB, SERUM ALBUMIN",lft
alkaline_phosphatase,U/L,,"ALP, ALKALINE PHOS, ALK PHOS, ALKP",lft
alt,U/L,,"ALT, SGPT, ALANINE TRANSAMINASE",lft
ast,U/L,,"AST, SGOT, ASPARTATE TRANSAMINASE",lft
basophils_percent,%,,"BASO%, BASOPHILS %, BASO PERCENT",cbc
basophils_absolute,10^3/µL,,"BASO#, BASOPHILS ABS, BASO ABSOLUTE",cbc
bicarbonate,mmol/L,bicarbonate from BMP (sometimes reported out as CO2) not from ABG/VBG,"CO2, HCO3, BICARB, CARBON DIOXIDE",bmp
bilirubin_total,mg/dL,,"TBILI, TOTAL BILI, BILIRUBIN TOTAL",lft
bilirubin_conjugated,mg/dL,,"DBILI, DIRECT BILI, CONJUGATED BILI",lft
bilirubin_unconjugated,mg/dL,,"INDIRECT BILI, UNCONJUGATED BILI, IBILI",lft
bun,mg/dL,,"BUN, UREA NITROGEN, BLOOD UREA",bmp
calcium_total,mg/dL,includes lactate,"CA, CALCIUM, TOTAL CALCIUM, SERUM CA",misc
calcium_ionized,mg/dL,,"IONIZED CA, ICA, FREE CALCIUM",bmp
chloride,mmol/L,,"CL, CHLORIDE, SERUM CHLORIDE",bmp
creatinine,mg/dL,,"CR, CREAT, SERUM CREATININE",bmp
crp,mg/L,includes lactate,"CRP, C-REACTIVE PROTEIN, HS-CRP",misc
eosinophils_percent,%,,"EOS%, EOSINOPHILS %, EO PERCENT",cbc
eosinophils_absolute,10^3/µL,,"EOS#, EOSINOPHILS ABS, EO ABSOLUTE",cbc
esr,mm/hour,includes lactate,"ESR, SED RATE, SEDIMENTATION RATE",misc
ferritin,ng/mL,includes lactate,"FERRITIN, SERUM FERRITIN, FERR",misc
glucose_fingerstick,mg/dL,includes lactate,"POC GLUCOSE, FINGERSTICK GLUCOSE, ACCUCHECK, BEDSIDE GLUCOSE",misc
glucose_serum,mg/dL,,"GLUCOSE, SERUM GLUCOSE, BLOOD GLUCOSE, GLU",bmp
hemoglobin,g/dL,,"HGB, HB, HEMOGLOBIN",cbc
phosphate,mg/dL,sometimes called 'phosphorus' in the EHR,"PHOS, PHOSPHORUS, PHOSPHATE, SERUM PHOS",coags
inr,(no units),includes lactate,"INR, INTERNATIONAL NORMALIZED RATIO",misc
lactate,mmol/L,includes lactate,"LACTATE, LACTIC ACID, LAC",misc
ldh,U/L,,"LDH, LD, LACTATE DEHYDROGENASE",cbc
lymphocytes_percent,%,,"LYMPH%, LYMPHOCYTES %, LYMPH PERCENT",cbc
lymphocytes_absolute,10^3/µL,includes lactate,"LYMPH#, LYMPHOCYTES ABS, LYMPH ABSOLUTE",misc
magnesium,mg/dL,,"MG, MAGNESIUM, SERUM MG",cbc
monocytes_percent,%,,"MONO%, MONOCYTES %, MONO PERCENT",cbc
monocytes_absolute,10^3/µL,,"MONO#, MONOCYTES ABS, MONO ABSOLUTE",cbc
neutrophils_percent,%,,"NEUT%, NEUTROPHILS %, NEUT PERCENT, PMN%",cbc
neutrophils_absolute,10^3/µL,includes abg/vbg/mixed venous/etc,"NEUT#, ANC, NEUTROPHILS ABS, PMN#",blood_gas
pco2_arterial,mmHg,includes abg/vbg/mixed venous/etc,"PACO2, ARTERIAL PCO2, ABG PCO2",blood_gas
po2_arterial,mmHg,includes abg/vbg/mixed venous/etc,"PAO2, ARTERIAL PO2, ABG PO2",blood_gas
pco2_venous,mmHg,includes abg/vbg/mixed venous/etc,"PVCO2, VENOUS PCO2, VBG PCO2",blood_gas
ph_arterial,(no units),includes lactate,"ABG PH, ARTERIAL PH, BLOOD PH",misc
ph_venous,(no units),,"VBG PH, VENOUS PH",cbc
platelet_count,10^3/µL,includes abg/vbg/mixed venous/etc,"PLT, PLATELETS, PLATELET COUNT",blood_gas
potassium,mmol/L,,"K, POTASSIUM, SERUM K",bmp
procalcitonin,ng/mL,includes lactate,"PCT, PROCALCITONIN, PRO-CALCITONIN",misc
pt,sec,,"PT, PROTIME, PROTHROMBIN TIME",coags
ptt,sec,,"PTT, APTT, ACTIVATED PTT",coags
so2_arterial,%,includes abg/vbg/mixed venous/etc,"SAO2, ARTERIAL SAT, ABG O2 SAT",blood_gas
so2_mixed_venous,%,includes abg/vbg/mixed venous/etc,"SVO2, MIXED VENOUS SAT, SVMVO2",blood_gas
so2_central_venous,%,includes abg/vbg/mixed venous/etc,"SCVO2, CENTRAL VENOUS SAT",blood_gas
sodium,mmol/L,,"NA, SODIUM, SERUM NA",bmp
total_protein,g/dL,,"TP, TOTAL PROTEIN, SERUM PROTEIN",lft
troponin_i,ng/L,includes lactate,"TROP I, TROPONIN I, TNI",misc
troponin_t,ng/L,includes lactate,"TROP T, TROPONIN T, TNT",misc
wbc,10^3/µL,,"WBC, WHITE BLOOD CELL, LEUKOCYTES",cbc
