med_category,description,med_name_examples,med_group
albumin,Colloid fluid replacement for volume expansion and hypoalbuminemia,"ALBUMIN 5% 250 ML IV INFUSION, ALBUMIN 25% 50 ML IV INFUSION",fluids_electrolytes
albuterol,Beta-2 agonist bronchodilator for respiratory conditions,"ALBUTEROL 2.5 MG/3 ML NEBULIZER, ALBUTEROL 5 MG CONTINUOUS NEBULIZER",Inhaled
alprostadil,Prostaglandin vasodilator for pulmonary hypertension and ductus arteriosus,"ALPROSTADIL 20 MCG/ML IV INFUSION, ALPROSTADIL 0.1 MCG/KG/MIN IV",pulmonary vasodilators (IV)
aminocaproic_acid,Antifibrinolytic agent to reduce bleeding,"AMINOCAPROIC ACID 5 GM/250 ML IV INFUSION, AMINOCAPROIC 100 MG/KG IV LOAD",others
aminophylline,Bronchodilator and respiratory stimulant,"AMINOPHYLLINE 250 MG/250 ML IV INFUSION, AMINOPHYLLINE 0.5 MG/KG/HR IV",others
amiodarone,Antiarrhythmic for ventricular and atrial arrhythmias,AMIODARONE 900 MG/500 ML IV INFUSION 1 MG/MIN,cardiac
angiotensin,Vasopressor for refractory hypotension,"ANGIOTENSIN II 2.5 MG/10 ML IV INFUSION, ANGIOTENSIN 20 NG/KG/MIN IV",vasoactives
argatroban,Direct thrombin inhibitor anticoagulant,"ARGATROBAN 100 MG/250 ML IV INFUSION, ARGATROBAN 2 MCG/KG/MIN IV",anticoagulation
baclofen,Muscle relaxant and antispasmodic,"BACLOFEN 20 MG/20 ML INTRATHECAL, BACLOFEN 2000 MCG/DAY IT PUMP",others
bivalirudin,Direct thrombin inhibitor for anticoagulation,"BIVALIRUDIN 250 MG/250 ML IV INFUSION, BIVALIRUDIN 0.15 MG/KG/HR IV",anticoagulation
bumetanide,Loop diuretic for fluid management,"BUMETANIDE 2 MG/100 ML IV INFUSION, BUMETANIDE 0.5 MG/HR IV CONTINUOUS",diuretics
bupivacaine,Local anesthetic for regional anesthesia,"BUPIVACAINE 0.25% 100 ML EPIDURAL INFUSION, BUPIVACAINE 10 ML/HR EPIDURAL",others
cangrelor,Rapid acting antiplatelet agent for acute coronary syndrome or with recent percutaneous intravenous intervention,"CANGRELOR 50 MG/250 ML IV INFUSION, CANGRELOR 0.75 MCG/KG/MIN IV",anticoagulation
cisatracurium,Neuromuscular blocking agent for paralysis,"CISATRACURIUM 200 MG/100 ML IV INFUSION, CISATRACURIUM 3 MCG/KG/MIN IV",paralytics
clevidipine,Ultra-short acting calcium channel blocker,"CLEVIDIPINE 50 MG/100 ML IV INFUSION, CLEVIDIPINE 2-16 MG/HR IV",cardiac
dexmedetomidine,Alpha-2 agonist sedative,"DEXMEDETOMIDINE 200 MCG/50 ML IV INFUSION, DEXMEDETOMIDINE 0.2-1.5 MCG/KG/HR IV",sedation
dextrose_10_water,"Dextrose 10% concentration, glucose solution for fluid replacement","D10W 1000 ML IV MAINTENANCE, DEXTROSE 10% 1000 ML IV MAINTENANCE",fluids_electrolytes
dextrose_5_water,"Dextrose 5% concentration, glucose solution for fluid replacement","D5W 1000 ML IV MAINTENANCE, DEXTROSE 5% IN WATER 500 ML IV AT 125 ML/HR",fluids_electrolytes
dextrose_other,"Other dextrose concentrations (not D5W or D10W) or dextrose in solutions other than water, glucose solution for fluid replacement","DEXTROSE 20% 1000 ML IV MAINTENANCE, 5% DEXTROSE IN LACTATED RINGER'S 1000 mL",others
diltiazem,Calcium channel blocker for ventricular rate control,"DILTIAZEM 125 MG/125 ML IV INFUSION, DILTIAZEM 5-15 MG/HR IV",cardiac
dobutamine,Inotropic agent to increase cardiac contractility,"DOBUTAMINE 500 MG/250 ML IV INFUSION, DOBUTAMINE 2-20 MCG/KG/MIN IV",vasoactives
dopamine,Vasopressor and inotrope for hemodynamic support,"DOPAMINE 400 MG/250 ML IV INFUSION, DOPAMINE 5-20 MCG/KG/MIN IV",vasoactives
epinephrine,Catecholamine for hemodynamic support and/or anaphylaxis,"EPINEPHRINE 4 MG/250 ML IV INFUSION, EPINEPHRINE 0.01-0.5 MCG/KG/MIN IV",vasoactives
epoprostenol,Prostacyclin for pulmonary arterial hypertension,"EPOPROSTENOL 15000 MCG/100 ML IV INFUSION, EPOPROSTENOL 2-10 NG/KG/MIN IV",pulmonary vasodilators (IV)
epoprostenol,Inhaled prostacyclin for pulmonary hypertension,"EPOPROSTENOL 50000 MCG CONTINUOUS NEBULIZER, EPOPROSTENOL 30000 NG/MIN INHALED",pulmonary vasodilators (inhaled)
eptifibatide,Glycoprotein IIb/IIIa inhibitor antiplatelet,"EPTIFIBATIDE 75 MG/100 ML IV INFUSION, EPTIFIBATIDE 2 MCG/KG/MIN IV",anticoagulation
esmolol,Ultra-short acting beta blocker,"ESMOLOL 2500 MG/250 ML IV INFUSION, ESMOLOL 50-300 MCG/KG/MIN IV",cardiac
esomeprazole,Proton pump inhibitor for acid suppression,"ESOMEPRAZOLE 40 MG/100 ML IV INFUSION, ESOMEPRAZOLE 8 MG/HR IV CONTINUOUS",gastrointestinal
fentanyl,Opioid analgesic,"FENTANYL 2500 MCG/50 ML IV INFUSION, FENTANYL 25-200 MCG/HR IV",sedation
furosemide,Loop diuretic for fluid management,"FUROSEMIDE 200 MG/100 ML IV INFUSION, FUROSEMIDE 5-20 MG/HR IV CONTINUOUS",diuretics
heparin,Anticoagulant for thrombosis treatment and prevention,"HEPARIN 25000 UNITS/250 ML IV INFUSION, HEPARIN 12-18 UNITS/KG/HR IV",anticoagulation
hydromorphone,Opioid analgesic,"HYDROMORPHONE 50 MG/50 ML IV INFUSION, HYDROMORPHONE 0.5-3 MG/HR IV PCA",sedation
insulin,Hormone for glucose management,"INSULIN REGULAR 100 UNITS/100 ML IV INFUSION, INSULIN 1-10 UNITS/HR IV",endocrine
ipratropium,Anticholinergic bronchodilator,"IPRATROPIUM 0.5 MG/2.5 ML NEBULIZER, IPRATROPIUM 0.5 MG Q4H NEBULIZER",Inhaled
isoproterenol,Beta agonist to increase heart rate,"ISOPROTERENOL 1 MG/250 ML IV INFUSION, ISOPROTERENOL 0.02-0.1 MCG/KG/MIN IV",vasoactives
ketamine,Dissociative anesthetic for sedation and analgesia,"KETAMINE 500 MG/50 ML IV INFUSION, KETAMINE 0.1-0.5 MG/KG/HR IV",sedation
labetalol,Alpha and beta blocker for hypertension,"LABETALOL 200 MG/200 ML IV INFUSION, LABETALOL 0.5-2 MG/MIN IV",cardiac
lactated_ringers_solution,Balanced crystalloid for fluid resuscitation,"LACTATED RINGERS 1000 ML IV BOLUS, LR 500 ML IV AT 200 ML/HR",fluids_electrolytes
levothyroxine,Thyroid hormone replacement therapy,"LEVOTHYROXINE 200 MCG/100 ML IV INFUSION, LEVOTHYROXINE 100 MCG IV DAILY",endocrine
lidocaine,Antiarrhythmic and local anesthetic,"LIDOCAINE 2 GM/500 ML IV INFUSION, LIDOCAINE 1-4 MG/MIN IV",cardiac
liothyronine,Synthetic T3 thyroid hormone,"LIOTHYRONINE 100 MCG/100 ML IV INFUSION, LIOTHYRONINE 10 MCG IV Q8H",endocrine
lorazepam,Benzodiazepine for anxiety and sedation,"LORAZEPAM 50 MG/50 ML IV INFUSION, LORAZEPAM 1-4 MG/HR IV",sedation
magnesium_sulfate,Electrolyte replacement and antiarrhythmic,"MAGNESIUM SULFATE 20 GM/250 ML IV INFUSION, MAGNESIUM 1-2 GM/HR IV",others
midazolam,Benzodiazepine for anxiety and sedation,"MIDAZOLAM 100 MG/100 ML IV INFUSION, MIDAZOLAM 1-10 MG/HR IV",sedation
