med_category,description,med_name_examples,med_group
acetaminophen,Non-opioid analgesic and antipyretic for pain and fever,"ACETAMINOPHEN 1000 MG IV Q6H, ACETAMINOPHEN 650 MG PO Q4H PRN",analgesia
acyclovir,Antiviral for herpes simplex and varicella zoster infections,"ACYCLOVIR 800 MG IV Q8H, ACYCLOVIR 10 MG/KG IV Q8H",CMS_sepsis_qualifying_antibiotics
alteplase,Intrapleural thrombolytic agent for acute ischemic stroke and PE,"INTRAPLEURAL ALTEPLASE 10MG, ALTEPLASE 10MG INJECTION ",other
amikacin,Aminoglycoside antibiotic for gram-negative infections,"AMIKACIN 1500 MG IV Q24H, AMIKACIN 15 MG/KG IV DAILY",CMS_sepsis_qualifying_antibiotics
amoxicillin,Beta-lactam antibiotic for respiratory and UTI,"AMOXICILLIN 500 MG PO Q8H, AMOXICILLIN 875 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
amoxicillin_clavulanate,Beta-lactam with beta-lactamase inhibitor,"AMOXICILLIN-CLAVULANATE 875-125 MG PO Q12H, AUGMENTIN 500-125 MG PO Q8H",CMS_sepsis_qualifying_antibiotics
amphotericin_b,Antifungal for severe systemic fungal infections,"AMPHOTERICIN B 50 MG IV DAILY, AMPHOTERICIN B LIPOSOMAL 5 MG/KG IV Q24H",CMS_sepsis_qualifying_antibiotics
ampicillin,Beta-lactam antibiotic for various bacterial infections,"AMPICILLIN 2 GM IV Q6H, AMPICILLIN 1 GM IV Q4H",CMS_sepsis_qualifying_antibiotics
ampicillin_sulbactam,Beta-lactam with beta-lactamase inhibitor,"AMPICILLIN-SULBACTAM 3 GM IV Q6H, UNASYN 1.5 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
anakinra,Interleukin-1 receptor antagonist for inflammatory conditions,"ANAKINRA 100 MG SUBQ DAILY, ANAKINRA 2 MG/KG SUBQ Q12H",other
anidulafungin,Echinocandin antifungal for candidiasis,"ANIDULAFUNGIN 200 MG IV LOAD THEN 100 MG IV DAILY, ERAXIS 100 MG IV Q24H",CMS_sepsis_qualifying_antibiotics
atracurium,Intermediate-acting neuromuscular blocking agent,"ATRACURIUM 50 MG IV BOLUS, ATRACURIUM 0.5 MG/KG IV PRN PARALYSIS",paralytics
axicabtagene_ciloleucel,CAR T-cell therapy for large B-cell lymphoma,"AXICABTAGENE CILOLEUCEL 2X10^6 CAR+ T CELLS IV INFUSION, YESCARTA INFUSION",car_t
azithromycin,Macrolide antibiotic for respiratory infections,"AZITHROMYCIN 500 MG IV DAILY, AZITHROMYCIN 250 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
aztreonam,Monobactam antibiotic for gram-negative infections,"AZTREONAM 2 GM IV Q8H, AZTREONAM 1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
betamethasone,Corticosteroid for fetal lung maturation,"BETAMETHASONE 12 MG IM Q24H X2 DOSES, BETAMETHASONE 12 MG IM",steroid
brexucabtagene_autoleucel,CAR T-cell therapy for mantle cell lymphoma,"BREXUCABTAGENE AUTOLEUCEL 2X10^6 CAR+ T CELLS IV, TECARTUS INFUSION",car_t
caspofungin,Echinocandin antifungal for invasive aspergillosis,"CASPOFUNGIN 70 MG IV LOAD THEN 50 MG IV DAILY, CANCIDAS 50 MG IV Q24H",CMS_sepsis_qualifying_antibiotics
cefaclor,Second-generation cephalosporin,"CEFACLOR 500 MG PO Q8H, CEFACLOR 250 MG PO Q8H",CMS_sepsis_qualifying_antibiotics
cefadroxil,First-generation cephalosporin for skin infections,"CEFADROXIL 1 GM PO Q12H, CEFADROXIL 500 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
cefamandole,Second-generation cephalosporin,"CEFAMANDOLE 2 GM IV Q6H, CEFAMANDOLE 1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
cefazolin,First-generation cephalosporin ,"CEFAZOLIN 2 GM IV Q8H, CEFAZOLIN 1 GM IV PREOP",CMS_sepsis_qualifying_antibiotics
cefdinir,Third-generation oral cephalosporin,"CEFDINIR 300 MG PO Q12H, CEFDINIR 600 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
cefepime,Fourth-generation cephalosporin for severe infections,"CEFEPIME 2 GM IV Q8H, CEFEPIME 1 GM IV Q12H",CMS_sepsis_qualifying_antibiotics
cefiderocol,Siderophore cephalosporin for resistant gram-negatives,"CEFIDEROCOL 2 GM IV Q8H, FETROJA 2 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
cefixime,Third-generation oral cephalosporin,"CEFIXIME 400 MG PO DAILY, CEFIXIME 200 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
cefmetazole,Second-generation cephalosporin,"CEFMETAZOLE 2 GM IV Q6H, CEFMETAZOLE 1 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
cefonicid,Second-generation cephalosporin,"CEFONICID 1 GM IV Q24H, CEFONICID 2 GM IV DAILY",CMS_sepsis_qualifying_antibiotics
cefoperazone,Third-generation cephalosporin,"CEFOPERAZONE 2 GM IV Q12H, CEFOPERAZONE 1-2 GM IV Q12H",CMS_sepsis_qualifying_antibiotics
cefotaxime,Third-generation cephalosporin for meningitis,"CEFOTAXIME 2 GM IV Q6H, CEFOTAXIME 2 GM IV Q4H MENINGITIS",CMS_sepsis_qualifying_antibiotics
cefotetan,Second-generation cephalosporin,"CEFOTETAN 2 GM IV Q12H, CEFOTETAN 1 GM IV Q12H",CMS_sepsis_qualifying_antibiotics
cefoxitin,Second-generation cephalosporin for anaerobes,"CEFOXITIN 2 GM IV Q6H, CEFOXITIN 1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
cefpodoxime,Third-generation oral cephalosporin,"CEFPODOXIME 200 MG PO Q12H, CEFPODOXIME 400 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
cefprozil,Second-generation oral cephalosporin,"CEFPROZIL 500 MG PO Q12H, CEFPROZIL 250 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
ceftaroline,Fifth-generation cephalosporin for MRSA,"CEFTAROLINE 600 MG IV Q12H, CEFTAROLINE 600 MG IV Q8H",CMS_sepsis_qualifying_antibiotics
ceftazidime,Third-generation cephalosporin for pseudomonas,"CEFTAZIDIME 2 GM IV Q8H, CEFTAZIDIME 1 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
ceftazidime_avibactam,Cephalosporin with beta-lactamase inhibitor,"CEFTAZIDIME-AVIBACTAM 2.5 GM IV Q8H, AVYCAZ 2.5 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
ceftazidime_clavulanate,Cephalosporin with beta-lactamase inhibitor,"CEFTAZIDIME-CLAVULANATE 2.5 GM IV Q8H, CEFTAZIDIME 2 GM + CLAVULANATE IV Q8H",CMS_sepsis_qualifying_antibiotics
ceftibuten,Third-generation oral cephalosporin,"CEFTIBUTEN 400 MG PO DAILY, CEFTIBUTEN 400 MG PO Q24H",CMS_sepsis_qualifying_antibiotics
ceftizoxime,Third-generation cephalosporin,"CEFTIZOXIME 2 GM IV Q8H, CEFTIZOXIME 1 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
ceftolozane_tazobactam,Cephalosporin with beta-lactamase inhibitor,"CEFTOLOZANE-TAZOBACTAM 3 GM IV Q8H, ZERBAXA 1.5 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
ceftriaxone,Third-generation cephalosporin for meningitis and sepsis,"CEFTRIAXONE 2 GM IV DAILY, CEFTRIAXONE 1 GM IV Q12H",CMS_sepsis_qualifying_antibiotics
cefuroxime,Second-generation cephalosporin,"CEFUROXIME 1.5 GM IV Q8H, CEFUROXIME 750 MG IV Q8H",CMS_sepsis_qualifying_antibiotics
cephalexin,First-generation oral cephalosporin,"CEPHALEXIN 500 MG PO Q6H, CEPHALEXIN 250 MG PO Q6H",CMS_sepsis_qualifying_antibiotics
cephalothin,First-generation cephalosporin,"CEPHALOTHIN 2 GM IV Q4H, CEPHALOTHIN 1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
cephapirin,First-generation cephalosporin,"CEPHAPIRIN 1 GM IV Q6H, CEPHAPIRIN 500 MG IV Q4H",CMS_sepsis_qualifying_antibiotics
cephradine,First-generation cephalosporin,"CEPHRADINE 500 MG PO Q6H, CEPHRADINE 1 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
chloramphenicol,Broad-spectrum antibiotic for meningitis,"CHLORAMPHENICOL 1 GM IV Q6H, CHLORAMPHENICOL 12.5 MG/KG IV Q6H",CMS_sepsis_qualifying_antibiotics
cidofovir,Antiviral for CMV retinitis,"CIDOFOVIR 5 MG/KG IV WEEKLY, CIDOFOVIR 5 MG/KG IV Q2WEEKS",CMS_sepsis_qualifying_antibiotics
ciltacabtagene_autoleucel,CAR T-cell therapy for multiple myeloma,"CILTACABTAGENE AUTOLEUCEL 0.75X10^6 CAR+ T CELLS/KG IV, CARVYKTI INFUSION",car_t
cinoxacin,Quinolone antibiotic for UTI,"CINOXACIN 500 MG PO Q12H, CINOXACIN 1 GM PO DAILY",CMS_sepsis_qualifying_antibiotics
ciprofloxacin,Fluoroquinolone for various bacterial infections,"CIPROFLOXACIN 400 MG IV Q12H, CIPROFLOXACIN 500 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
cisatracurium,Neuromuscular blocking agent,"CISATRACURIUM 20 MG IV BOLUS, CISATRACURIUM 0.15 MG/KG IV PRN",paralytics
clarithromycin,Macrolide antibiotic for respiratory infections,"CLARITHROMYCIN 500 MG PO Q12H, CLARITHROMYCIN 500 MG IV Q12H",CMS_sepsis_qualifying_antibiotics
clindamycin,Lincosamide antibiotic for anaerobic infections,"CLINDAMYCIN 900 MG IV Q8H, CLINDAMYCIN 600 MG IV Q6H",CMS_sepsis_qualifying_antibiotics
cloxacillin,Anti-staphylococcal penicillin,"CLOXACILLIN 500 MG PO Q6H, CLOXACILLIN 2 GM IV Q6H",CMS_sepsis_qualifying_antibiotics
colistin,Polymyxin antibiotic for resistant gram-negatives,"COLISTIN 2.5 MG/KG IV Q12H, COLISTIN 5 MG/KG IV LOAD",CMS_sepsis_qualifying_antibiotics
dalbavancin,Long-acting lipoglycopeptide for skin infections,"DALBAVANCIN 1500 MG IV SINGLE DOSE, DALBAVANCIN 1000 MG IV THEN 500 MG IV WEEK 2",CMS_sepsis_qualifying_antibiotics
daptomycin,Cyclic lipopeptide for gram-positive infections,"DAPTOMYCIN 6 MG/KG IV DAILY, DAPTOMYCIN 8-10 MG/KG IV Q24H",CMS_sepsis_qualifying_antibiotics
delafloxacin,Fluoroquinolone for skin and bacterial infections,"DELAFLOXACIN 300 MG IV Q12H, DELAFLOXACIN 450 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
dexamethasone,Corticosteroid,"DEXAMETHASONE 10 MG IV Q6H, DEXAMETHASONE 4 MG IV Q6H",steroid
diazepam,Benzodiazepine for anxiety and seizures,"DIAZEPAM 5 MG IV Q4H PRN ANXIETY, DIAZEPAM 10 MG IV PUSH",anxiolytic
dicloxacillin,Anti-staphylococcal penicillin for skin infections,"DICLOXACILLIN 500 MG PO Q6H, DICLOXACILLIN 250 MG PO Q6H",CMS_sepsis_qualifying_antibiotics
diphenhydramine,Antihistamine for allergic reactions,"DIPHENHYDRAMINE 25 MG IV Q6H PRN, DIPHENHYDRAMINE 50 MG PO Q6H PRN",other
doripenem,Carbapenem antibiotic for severe infections,"DORIPENEM 500 MG IV Q8H, DORIPENEM 1 GM IV Q8H",CMS_sepsis_qualifying_antibiotics
dornase_alfa,Intrapleural lytic medication,"DORNASE ALFA 2.5 MG INTRAPLEURAL, DORNASE ALFA 5 MG INTRAPLEURAL",other
doxycycline,Tetracycline antibiotic for various infections,"DOXYCYCLINE 100 MG IV Q12H, DOXYCYCLINE 100 MG PO Q12H",CMS_sepsis_qualifying_antibiotics
eravacycline,Fluorocycline antibiotic for complicated infections,"ERAVACYCLINE 1 MG/KG IV Q12H, XERAVA 1 MG/KG IV Q12H",CMS_sepsis_qualifying_antibiotics
ertapenem,Carbapenem for community-acquired infections,"ERTAPENEM 1 GM IV DAILY, ERTAPENEM 1 GM IV Q24H",CMS_sepsis_qualifying_antibiotics
erythromycin,Macrolide antibiotic for respiratory infections,"ERYTHROMYCIN 500 MG IV Q6H, ERYTHROMYCIN 250 MG PO Q6H",CMS_sepsis_qualifying_antibiotics
etomidate,Sedative for rapid sequence intubation,"ETOMIDATE 20 MG IV PUSH, ETOMIDATE 0.3 MG/KG IV BOLUS",sedation
fentanyl,Opioid analgesic,"FENTANYL 50 MCG IV Q2H PRN PAIN, FENTANYL 100 MCG IV PUSH",analgesia
fidaxomicin,Macrocyclic antibiotic for C. difficile infection,"FIDAXOMICIN 200 MG PO Q12H, DIFICID 200 MG PO Q12H X10 DAYS",CMS_sepsis_qualifying_antibiotics
fluconazole,Triazole antifungal for candidiasis,"FLUCONAZOLE 400 MG IV DAILY, FLUCONAZOLE 200 MG PO DAILY",CMS_sepsis_qualifying_antibiotics
fludrocortisone,Corticosteroid,"FLUDROCORTISONE 0.1 MG PO DAILY, FLUDROCORTISONE 0.05 MG PO DAILY",steroid
foscarnet,Antiviral for CMV and HSV infections,"FOSCARNET 60 MG/KG IV Q8H, FOSCARNET 90 MG/KG IV Q12H",CMS_sepsis_qualifying_antibiotics
fosfomycin,Broad-spectrum antibiotic for UTI,"FOSFOMYCIN 3 GM PO SINGLE DOSE, FOSFOMYCIN 3 GM PO X1",CMS_sepsis_qualifying_antibiotics
