organism_category,description,organism_name_examples
abiotrophia_defectiva,,abiotrophia defectiva
achromobacter_sp,Achromobacter organism identified to the genus level only; species not further specified.,"few saccharomyces, few achromobacter"
achromobacter_xylosoxidans,,"many achromobacter xylosoxidans, few achromobacter xylosoxidans"
acidaminococcus_sp,Acidaminococcus organism identified to the genus level only; species not further specified.,acidaminococcus
acinetobacter_baumannii,Common misspellings: acinetobacter_baumanii.,
acinetobacter_johnsonii,,"moderate acinetobacter johnsonii, moderate acinetobacter nosocomialis"
acinetobacter_junii,,acinetobacter junii
acinetobacter_lwoffii,Common misspellings: acinetobacter_lwoffi.,moderate acinetobacter lwoffii
acinetobacter_pittii,,"50,000 - 99,000 cfu/ml acinetobacter pittii, few acinetobacter"
acinetobacter_radioresistens,,"acinetobacter radioresistens, few acinetobacter radioresistens"
acinetobacter_sp,Acinetobacter organism identified to the genus level only; species not further specified.,"acinetobacter species, moderate acinetobacter"
acinetobacter_ursingii,,"rare acinetobacter ursingii, acinetobacter ursingii"
acremonium_sp,Acremonium organism identified to the genus level only; species not further specified.,rare acremonium
actinomyces_europaeus,,"actinomyces europaeus, few actinomyces europaeus"
actinomyces_meyeri,,"actinomyces meyeri, moderate actinomyces meyeri"
actinomyces_naeslundii,,actinomyces naeslundii
actinomyces_neuii,,"actinomyces neuii, few actinomyces neuii"
actinomyces_odontolyticus,,"actinomyces odontolyticus, rare actinomyces odontolyticus"
actinomyces_radingae,,"rare actinomyces radingae, actinomyces radingae"
actinomyces_sp,Actinomyces organism identified to the genus level only; species not further specified.,"actinomyces species, actinomyces sp., not israelii"
actinomyces_turicensis,,"rare actinomyces turicensis, many actinomyces turicensis"
actinomyces_viscosus,,actinomyces viscosus
actinotignum_schaalii,,"actinotignum (actinobaculum) schaalii, many actinotignum schaalii"
actinotignum_sp,Actinotignum organism identified to the genus level only; species not further specified.,few actinotignum
aerococcus_christensenii,,"10,000 - 49,000 cfu/ml aerococcus christensenii"
aerococcus_sanguinicola,Common misspellings: aerococcus_sanguicola.,"isolated from broth only aerococcus sanguinicola, 10,000 - 49,000 cfu/ml aerococcus sanguinicola"
aerococcus_sp,Aerococcus organism identified to the genus level only; species not further specified.,">=100,000 cfu/ml aerococcus"
aerococcus_urinae,Common misspellings: aerococcus_urinaie.,"1,000 - 10,000 cfu/ml aerococcus urinae"
aerococcus_viridans,,"rare aerococcus viridans, aerococcus viridans"
aeromonas_caviae,,"many aeromonas caviae, aeromonas caviae"
aeromonas_hydrophila,,"aeromonas hydrophila/caviae, aeromonas hydrophila"
aeromonas_sobria,,"aeromonas sobria, many aeromonas sobria"
aeromonas_sp,Aeromonas organism identified to the genus level only; species not further specified.,"aeromonas species, moderate aeromonas"
aggregatibacter_actinomycetemcomitans,,aggregatibacter (actinobacillus) actinomycetemcomitans
aggregatibacter_aphrophilus,,aggregatibacter aphrophilus
aggregatibacter_segnis,,aggregatibacter segnis
agrobacterium_radiobacter,,agrobacterium radiobacter
alcaligenes_faecalis,,"10,000 - 49,000 cfu/ml alcaligenes faecalis, rare alcaligenes faecalis"
alcaligenes_xylosoxidans,,alcaligenes xylosoxidans
alistipes_finegoldii,,alistipes finegoldii
alistipes_onderdonkii,,alistipes onderdonkii
alloiococcus_otitis,,alloiococcus otitis
alloiococcus_sp,Alloiococcus organism identified to the genus level only; species not further specified.,alloiococcus
alternaria_alternata,,"rare alternaria alternata, alternaria alternata"
alternaria_sp,Alternaria organism identified to the genus level only; species not further specified.,"alternaria, alternaria species"
anaerobic_sp,Anaerobic organism identified to the genus level only; species not further specified.,"anaerobic gram positive non-sporeforming bacilli, anaerobic organisms present"
anaerococcus_sp,Anaerococcus organism identified to the genus level only; species not further specified.,"anaerococcus, rare anaerococcus"
arcanobacterium_haemolyticum,,"arcanobacterium haemolyticum, many arcanobacterium haemolyticum"
arthrobacter_cumminsii,,arthrobacter cumminsii
arthrobacter_sp,Arthrobacter organism identified to the genus level only; species not further specified.,arthrobacter species
arthrographis_sp,Arthrographis organism identified to the genus level only; species not further specified.,arthrographis species
aspergillus_flavus,,"aspergillus flavus, moderate aspergillus flavus"
aspergillus_fumigatus,,"aspergillus fumigatus, few aspergillus fumigatus"
aspergillus_nidulans,,"aspergillus nidulans, few aspergillus nidulans"
