antimicrobial_category,description,antimicrobial_name_examples
actinomycin_d,antibiotic,Actinomycin D; Cosmegen; Dactinomycin
acyclovir,antiviral,Acyclovir; Zovirax; ACV
amikacin,antibiotic,Amikacin; Amikin; AMK
amoxicillin,antibiotic,Amoxicillin; Amoxil; Trimox; AMX
amoxicillin_clavulanate,antibiotic,Augmentin; Amoxicillin-Clavulanate; AMC; Amox-Clav
amphotericin_b,antifungal,Amphotericin B; Fungizone; AmB; Ampho B
ampicillin,antibiotic,Ampicillin; Principen; AMP
ampicillin_sulbactam,antibiotic,Unasyn; Ampicillin-Sulbactam; AMP-SUL; Amp/Sulb
anidulafungin,antifungal,Anidulafungin; Eraxis; ANI
azithromycin,antibiotic,Azithromycin; Zithromax; Z-Pak; AZM
aztreonam,antibiotic,Aztreonam; Azactam; Cayston; ATM
baloxavir_marboxil,antiviral,Baloxavir; Xofluza; BAL
bedaquiline,antibiotic,Bedaquiline; Sirturo; BDQ
beta_lactams,antibiotic,Beta-lactam; β-lactam; Penicillins; Cephalosporins
capreomycin,antibiotic,Capreomycin; Capastat; CAP
caspofungin,antifungal,Caspofungin; Cancidas; CAS
cefaclor,antibiotic,Cefaclor; Ceclor; CEC
cefadroxil,antibiotic,Cefadroxil; Duricef; CFR
cefamandole,antibiotic,Cefamandole; Mandol; MAD
cefazolin,antibiotic,Cefazolin; Ancef; Kefzol; CFZ; CZ
cefdinir,antibiotic,Cefdinir; Omnicef; CDR
cefditoren,antibiotic,Cefditoren; Spectracef; CDN
cefepime,antibiotic,Cefepime; Maxipime; FEP; CPM
cefiderocol,antibiotic,Cefiderocol; Fetroja; FDC
cefixime,antibiotic,Cefixime; Suprax; CFM
cefmetazole,antibiotic,Cefmetazole; Zefazone; CMZ
cefonicid,antibiotic,Cefonicid; Monocid; CID
cefoperazone,antibiotic,Cefoperazone; Cefobid; CFP
cefotaxime,antibiotic,Cefotaxime; Claforan; CTX
cefotetan,antibiotic,Cefotetan; Cefotan; CTT
cefoxitin,antibiotic,Cefoxitin; Mefoxin; FOX
cefpodoxime,antibiotic,Cefpodoxime; Vantin; CPD
cefprozil,antibiotic,Cefprozil; Cefzil; CPR
ceftaroline,antibiotic,Ceftaroline; Teflaro; CPT
ceftazidime,antibiotic,Ceftazidime; Fortaz; Tazicef; CAZ
ceftazidime_avibactam,antibiotic,Avycaz; Ceftazidime-Avibactam; CAZ-AVI; CZA
ceftazidime_clavulanate,antibiotic,Ceftazidime-Clavulanate; CAZ-CLA
ceftibuten,antibiotic,Ceftibuten; Cedax; CTB
ceftizoxime,antibiotic,Ceftizoxime; Cefizox; ZOX
ceftolozane_tazobactam,antibiotic,Zerbaxa; Ceftolozane-Tazobactam; C/T; CTZ
ceftriaxone,antibiotic,Ceftriaxone; Rocephin; CRO; CTX
cefuroxime,antibiotic,Cefuroxime; Zinacef; Ceftin; CXM
